ticker,scan_date,c,gap,gap_pct,pm_high_pct,pm_vol,prev_close,prev_high,o,h,l,month
IMNN,2025-05-23,15.1305,11.145,205.64627733185716,234.54193191253805,31707771.7867,5.4195,7.695,16.5645,18.1305,12.6525,2025-05
SBET,2025-05-27,35.83,27.21,404.91071428571433,695.3869047619048,54492807.0,6.72,6.91,33.93,53.45,28.5,2025-05
SGN,2025-05-28,2.19,2.34,281.9277108433735,414.4457831325301,163865169.0,0.83,1.16,3.17,4.2699,2.01,2025-05
LVWR,2025-05-28,3.97,1.1400000000000001,44.53125000000001,82.421875,70492057.0,2.56,2.6,3.7,4.67,3.05,2025-05
ALZN,2025-05-29,5.44,4.4399999999999995,133.73493975903614,147.59036144578315,77823813.0,3.32,3.52,7.76,8.22,5.21,2025-05
HCTI,2025-05-29,2.2659,1.5189,105.17241379310344,120.6896551724138,10269139.1245,1.4442,1.494,2.9631,3.1872,1.8675,2025-05
ZEO,2025-05-29,3.43,1.27,80.37974683544303,119.62025316455697,104813214.0,1.58,1.58,2.85,3.47,2.63,2025-05
WETO,2025-05-29,3.31,1.9100000000000001,97.44897959183675,116.83673469387755,27805945.0,1.96,2.0,3.87,4.25,2.27,2025-05
GITS,2025-05-30,2.41,2.0700000000000003,217.89473684210532,228.4105263157895,55931287.0,0.95,0.9999,3.02,3.1199,1.9,2025-05
BLRX,2025-05-30,5.25,2.0791,54.84449602996649,104.96188240259569,36539061.0,3.7909,3.99,5.87,7.7699,4.9,2025-05
BSLK,2025-05-30,3.38,1.3599999999999999,75.13812154696132,96.13259668508285,29989587.0,1.81,2.29,3.17,3.55,2.78,2025-05
LYRA,2025-06-02,20.25,24.080000000000002,488.43813387423944,660.6490872210954,26856817.0,4.93,5.3423,29.01,37.5,8.65,2025-06
INM,2025-06-02,3.42,3.0599999999999996,122.89156626506022,220.48192771084337,74520155.0,2.49,2.88,5.55,7.98,3.35,2025-06
OGEN,2025-06-02,5.01,4.5,125.0,166.66666666666666,9059057.9,3.6,4.11,8.1,9.6,4.887,2025-06
IRD,2025-06-02,1.09,0.6954999999999999,69.9346405228758,75.96782302664656,40267546.0,0.9945,1.0379,1.69,1.75,1.05,2025-06
VERA,2025-06-02,31.74,12.79,67.4934036939314,73.24538258575197,13253867.0,18.95,19.855,31.74,32.83,28.9,2025-06
MCTR,2025-06-03,32.9,2.2201000000000004,45.30908794057022,587.5650523480072,44195677.0,4.8999,5.0,7.12,33.69,6.94,2025-06
TRAW,2025-06-03,1.87,1.1099999999999999,78.16901408450704,81.69014084507045,62770662.0,1.42,1.45,2.53,2.58,1.81,2025-06
KWM,2025-06-04,4.48,2.84,147.91666666666669,236.97395833333331,116715175.0,1.92,2.07,4.76,6.4699,3.68,2025-06
CLRB,2025-06-04,13.851,4.446,53.38616714697406,147.2946685878963,20870200.5333,8.328,8.763,12.774,20.5947,11.7,2025-06
STSS,2025-06-04,6.31,2.115,56.55080213903744,88.23529411764706,49530409.0,3.74,3.745,5.855,7.04,5.18,2025-06
BAOS,2025-06-04,3.66,1.9699999999999998,83.1223628691983,85.2320675105485,36194951.0,2.37,2.47,4.34,4.39,3.24,2025-06
SCNI,2025-06-05,3.25,3.4899999999999998,138.4920634920635,145.2380952380952,20514688.0,2.52,2.625,6.01,6.18,2.6,2025-06
ZENA,2025-06-05,4.45,1.5500000000000003,48.74213836477988,117.61006289308176,136896984.0,3.18,3.19,4.73,6.92,4.15,2025-06
WBUY,2025-06-06,7.1,2.67,58.04347826086956,116.08478260869566,37721353.0,4.6,4.86,7.27,9.9399,6.35,2025-06
EYEN,2025-06-06,4.88,1.15,36.624203821656046,87.26114649681527,39079324.0,3.14,3.3,4.29,5.88,3.53,2025-06
VERO,2025-06-06,3.18,1.5,62.76150627615063,77.82426778242677,61290366.0,2.39,2.42,3.89,4.25,2.54,2025-06
KNW,2025-06-09,3.04,1.8599999999999999,119.23076923076923,151.27564102564102,118899554.0,1.56,1.67,3.42,3.9199,2.5501,2025-06
KLTO,2025-06-10,2.01,1.1500000000000001,63.1868131868132,114.82967032967034,340916473.0,1.82,1.84,2.97,3.9099,1.725,2025-06
EVGN,2025-06-10,2.26,0.9500000000000002,84.07079646017701,114.15929203539825,102596516.0,1.13,1.14,2.08,2.42,1.76,2025-06
MEGL,2025-06-10,2.05,0.8589000000000002,67.04394660838344,74.06915931621265,57403427.0,1.2811,1.3,2.14,2.23,1.79,2025-06
VTAK,2025-06-11,11.4019,9.2283,214.5318021201414,264.52715268737217,36084375.0,4.3016,4.5942,13.5299,15.6805,10.6628,2025-06
KZIA,2025-06-11,9.54,5.2447,99.79829886019827,144.70344223926318,49671825.0,5.2553,5.5,10.5,12.8599,8.7,2025-06
TRNR,2025-06-11,9.2,3.851000000000001,47.84445272704686,56.54118524040255,5319036.4,8.049,8.453,11.9,12.6,8.4,2025-06
HCTI,2025-06-12,7.47,5.976,260.8695652173913,371.7391304347826,23083496.4096,2.2908,2.5647,8.2668,10.8066,7.0218,2025-06
GNLN,2025-06-12,11.55,5.549999999999999,96.10389610389608,119.48051948051948,5472467.3213,5.775,6.375,11.325,12.675,8.25,2025-06
SOAR,2025-06-12,2.16,1.205,55.5299539170507,69.12442396313365,64861643.0,2.17,2.32,3.375,3.67,2.05,2025-06
RBNE,2025-06-13,14.0,8.3,247.76119402985074,514.0268656716418,101812847.0,3.35,3.6,11.65,20.5699,10.8001,2025-06
HUSA,2025-06-13,15.65,5.72,80.11204481792717,176.47058823529412,28872957.0,7.14,9.2,12.86,19.74,12.74,2025-06
USEG,2025-06-13,2.21,1.13,79.57746478873239,93.66197183098592,106880889.0,1.42,1.5193,2.55,2.75,2.1,2025-06
ICON,2025-06-13,2.92,1.0899999999999999,60.89385474860334,83.79329608938546,59053484.0,1.79,1.87,2.88,3.2899,2.56,2025-06
SRM,2025-06-16,9.19,4.069999999999999,280.6896551724138,647.5793103448276,251394135.0,1.45,1.48,5.52,10.8399,4.3,2025-06
RGC,2025-06-16,60.0,10.539499999999999,67.29989463937932,433.8271447271798,5288933.0,15.6605,16.5237,26.2,83.6,26.2,2025-06
DWSN,2025-06-16,2.9,4.13,301.45985401459853,304.37956204379554,53406690.0,1.37,1.3885,5.5,5.54,2.4101,2025-06
SONM,2025-06-16,1.68,0.6002000000000001,64.55151645515166,130.15702301570232,113348717.0,0.9298,1.12,1.53,2.14,1.3,2025-06
BATL,2025-06-16,2.74,1.28,78.04878048780488,123.77439024390245,45330531.0,1.64,1.8799,2.92,3.6699,2.03,2025-06
STAK,2025-06-16,2.31,1.7900000000000003,91.79487179487181,103.58974358974362,24592489.0,1.95,2.1236,3.74,3.97,2.13,2025-06
SATS,2025-06-16,25.11,7.43,44.12114014251781,50.17755344418051,15844856.0,16.84,18.0,24.27,25.2899,23.87,2025-06
CERO,2025-06-17,19.83,3.5519999999999996,51.71811298776936,292.98194525334884,57440902.0,6.868,7.49,10.42,26.99,10.35,2025-06
ACXP,2025-06-17,16.414,12.154,197.88342559426894,241.90817323347443,17208135.9,6.142,6.4,18.296,21.0,12.67,2025-06
VERV,2025-06-17,11.38,4.765000000000001,75.99681020733654,81.89792663476874,83439303.0,6.27,6.4096,11.035,11.405,10.85,2025-06
APVO,2025-06-18,5.13,3.3400000000000003,118.43971631205676,364.8900709219858,124472376.0,2.82,3.8,6.16,13.1099,4.8,2025-06
KWE,2025-06-18,11.21,3.9299999999999997,68.22916666666666,166.84027777777777,37359935.0,5.76,6.36,9.69,15.37,9.21,2025-06
LSE,2025-06-18,7.47,3.95,71.17117117117118,76.2144144144144,16859568.0,5.55,6.5,9.5,9.7799,6.5812,2025-06
LGHL,2025-06-18,3.33,1.73,62.23021582733813,74.09712230215828,33692400.0,2.78,2.92,4.51,4.8399,2.76,2025-06
RELI,2025-06-18,2.92,0.96,44.23963133640553,63.59447004608294,49928518.0,2.17,2.32,3.13,3.55,2.67,2025-06
WHLR,2025-06-20,7.2,4.16,121.63742690058481,193.85964912280707,52350711.0,3.42,3.74,7.58,10.05,6.16,2025-06
INDP,2025-06-23,14.0,7.994000000000001,105.70159200296187,163.30988522769343,13048566.6071,7.5628,9.52,15.5568,19.9136,13.2328,2025-06
CDTX,2025-06-23,44.95,19.610000000000003,93.2921027592769,115.93720266412939,6741757.0,21.02,21.53,40.63,45.39,37.76,2025-06
HUSA,2025-06-23,18.54,6.469999999999999,43.71621621621621,72.70202702702701,12760731.0,14.8,15.9999,21.27,25.5599,17.29,2025-06
INDO,2025-06-23,4.87,1.54,30.434782608695656,57.11462450592888,53507352.0,5.06,5.07,6.6,7.95,4.7,2025-06
SPTN,2025-06-23,26.57,8.675,49.178004535147394,51.07709750566891,9138878.0,17.64,18.17,26.315,26.65,26.26,2025-06
NKTR,2025-06-24,24.45,10.380000000000003,108.80503144654092,190.14675052410905,37172732.0,9.54,9.75,19.92,27.68,16.56,2025-06
NA,2025-06-24,14.85,18.03,165.56473829201101,189.07254361799818,17859313.0,10.89,11.7,28.92,31.48,14.5,2025-06
INM,2025-06-24,3.87,1.7599999999999998,71.83673469387753,124.48979591836734,109978256.0,2.45,2.48,4.21,5.5,3.36,2025-06
GCTK,2025-06-25,7.84,8.535,137.43961352657007,156.0386473429952,24137179.0,6.21,6.61,14.745,15.9,7.77,2025-06
ULY,2025-06-25,8.19,3.5592000000000006,79.25536652712213,109.75995368308543,24217654.0,4.4908,4.72,8.05,9.4199,6.7,2025-06
CYN,2025-06-26,13.6,11.389999999999999,227.3453093812375,729.1417165668664,140839275.0,5.01,5.01,16.4,41.54,11.33,2025-06
ASTI,2025-06-26,2.84,1.705,146.3519313304721,218.45493562231758,112814148.0,1.165,1.6,2.87,3.71,2.1,2025-06
LCFY,2025-06-27,8.3,7.260000000000001,284.7058823529412,448.23529411764713,96031330.0,2.55,2.775,9.81,13.98,6.9,2025-06
BMNR,2025-06-30,33.9,10.735,251.69988276670577,705.6271981242674,110196702.0,4.265,4.57,15.0,34.36,12.38,2025-06
ARTL,2025-06-30,13.27,13.71,201.9145802650957,276.7304860088365,27022818.0,6.79,7.1799,20.5,25.58,12.6,2025-06
IPDN,2025-06-30,3.38,1.7200000000000002,98.28571428571429,182.2857142857143,55197078.0,1.75,1.75,3.47,4.94,3.05,2025-06
WBUY,2025-06-30,7.73,3.1499999999999995,55.950266429840134,73.71225577264653,44486678.0,5.63,6.09,8.78,9.78,5.2901,2025-06
