ticker,v,vw,o,c,h,l,t,n,date,v_prev,vw_prev,o_prev,c_prev,h_prev,l_prev,t_prev,n_prev,date_prev,pm_high,pm_vol,prev_close,prev_high,gap,prev_volume,trig_day,prev_close_1,d2,scan_date,valid_last_close,valid_ema200,valid_ema_ratio,valid_market_cap,valid_hist_days,gap_pct,pm_high_pct,open_prev_high_pct
NXU,9345705.45,8.89,9.356,8.122,9.98,6.8782,1739394000000,266802.0,2025-02-12,233565.1,5.39,5.094,5.478,6.0,5.0,1739307600000,7566.0,2025-02-11,9.98,9345705.45,5.478,6.0,3.878,233565.1,1,,0,2025-02-12,5.478,30.21234407618189,0.18131661635346658,6.6167611619999995,342,70.79225994888645,82.18327856882075,55.93333333333332
EDSA,115456916.0,3.4704,2.99,3.25,4.4899,2.83,1739480400000,626345.0,2025-02-13,8124.0,1.9298,1.99,1.86,1.99,1.86,1739394000000,88.0,2025-02-12,4.4899,115456916.0,1.86,1.99,1.1300000000000001,8124.0,1,,0,2025-02-13,1.86,3.1817155805775394,0.5845902793304913,6.4498438799999995,343,60.752688172043015,141.39247311827953,50.25125628140705
JTAI,104476130.0,6.3868,5.83,6.03,8.2,5.0701,1739566800000,640997.0,2025-02-14,93892.0,2.495,2.48,2.58,2.59,2.37,1739480400000,680.0,2025-02-13,8.2,104476130.0,2.58,2.59,3.25,93892.0,1,,0,2025-02-14,2.58,72.98865736151721,0.03534795806999305,4.9740852,343,125.96899224806202,217.82945736434104,125.09652509652511
SINT,70970295.0,4.9914,5.28,4.82,6.11,4.25,1739998800000,584220.0,2025-02-19,22399.0,2.8285,2.95,2.82,2.9899,2.75,1739912400000,340.0,2025-02-18,6.11,70970295.0,2.82,2.9899,2.4600000000000004,22399.0,1,,0,2025-02-19,2.82,12.622107689753449,0.22341752022043504,3.78684546,341,87.2340425531915,116.6666666666667,76.59453493427874
XOS,96590886.0,6.5389,4.43,6.25,9.1499,4.24,1740085200000,594251.0,2025-02-20,1995215.0,4.4438,3.17,3.13,3.23,3.1,1739998800000,18272.0,2025-02-19,9.1499,96590886.0,3.13,3.23,1.2999999999999998,1995215.0,1,,0,2025-02-20,3.13,4.987014468432242,0.6276300218924313,25.13184672,342,41.53354632587859,192.32907348242816,37.1517027863777
APTO,6066443.0667,6.33,7.134,5.7,7.65,5.313,1740085200000,144525.0,2025-02-20,173223.4667,4.293,4.611,4.497,4.62,4.035,1739998800000,6698.0,2025-02-19,7.65,6066443.0667,4.497,4.62,2.6370000000000005,173223.4667,1,,0,2025-02-20,4.497,17.548154117907046,0.25626626993268925,9.031980762600002,342,58.639092728485664,70.11340893929288,54.415584415584426
NAAS,5283156.9375,34.984,36.64,26.08,40.32,24.32,1740171600000,422928.0,2025-02-21,6646.5625,21.8608,22.56,22.24,23.04,21.0448,1740085200000,371.0,2025-02-20,40.32,5283156.9375,22.24,23.04,14.400000000000002,6646.5625,1,,0,2025-02-21,22.24,135.88572103796588,0.16366693888157857,19.15900245,342,64.74820143884894,81.29496402877699,59.02777777777779
UPC,10505314.725,10.804,10.368,8.056,13.952,7.08,1740171600000,458970.0,2025-02-21,608029.425,7.952,5.6,5.7,6.072,5.6,1740085200000,23045.0,2025-02-20,13.952,10505314.725,5.7,6.072,4.668,608029.425,1,,0,2025-02-21,5.7,548.526938335312,0.010391467768745418,1.2342187199999999,342,81.89473684210526,144.77192982456137,70.7509881422925
MLGO,17717848.5,185.757,93.903,190.8,351.3,79.5,1740171600000,2248867.0,2025-02-21,934641.8333,65.652,36.3,34.5,37.2,33.3,1740085200000,90511.0,2025-02-20,351.3,17717848.5,34.5,37.2,59.403000000000006,934641.8333,1,,0,2025-02-21,34.5,1559.5478804983006,0.022121795958567617,11.46876485,342,172.1826086956522,918.2608695652174,152.42741935483872
RETO,7361253.4,10.046,10.8,5.9,12.3,5.411,1740430800000,205247.0,2025-02-24,2850746.2,13.759,3.854,4.059,4.1,3.811,1740171600000,83576.0,2025-02-21,12.3,7361253.4,4.059,4.1,6.7410000000000005,2850746.2,1,,0,2025-02-24,4.059,14.656506430753474,0.276941849626803,8.261134952399999,340,166.07538802660756,203.03030303030303,163.4146341463415
ATCH,146448389.0,8.2206,4.02,5.56,13.19,4.0,1740430800000,1009914.0,2025-02-24,1037586.0,3.1224,2.39,2.35,2.39,2.1,1740171600000,5461.0,2025-02-21,13.19,146448389.0,2.35,2.39,1.6699999999999995,1037586.0,1,,0,2025-02-24,2.35,51.26137771224073,0.04584348109393171,0.91160965,258,71.06382978723403,461.27659574468083,68.20083682008367
PEPG,109229452.0,3.2372,2.61,2.29,4.48,2.23,1740430800000,456705.0,2025-02-24,210864.0,1.4014,1.5,1.37,1.5,1.345,1740171600000,939.0,2025-02-21,4.48,109229452.0,1.37,1.5,1.2399999999999998,210864.0,1,,0,2025-02-24,1.37,6.827363419977207,0.20066311337570103,44.65615969,340,90.51094890510947,227.007299270073,74.0
ATPC,76489318.0,1.6401,1.49,1.6,2.27,1.15,1740430800000,325669.0,2025-02-24,12029.0,0.9384,0.947899,0.936,0.948,0.920101,1740171600000,124.0,2025-02-21,2.27,76489318.0,0.936,0.948,0.5539999999999999,12029.0,1,,0,2025-02-24,0.936,3.67918987430542,0.25440383127187854,3.734598816,340,59.18803418803418,142.5213675213675,57.17299578059072
ONVO,32191328.0833,16.0332,15.0,15.24,21.96,11.28,1740517200000,801180.0,2025-02-25,9571.25,4.3092,4.44,4.428,4.44,4.2,1740430800000,198.0,2025-02-24,21.96,32191328.0833,4.428,4.44,10.572,9571.25,1,,0,2025-02-25,4.428,6.696232556568687,0.6612673563220771,6.440700537,340,238.75338753387533,395.93495934959356,237.8378378378378
BREA,7707765.6,11.464,10.0,9.406,12.599,7.44,1740517200000,277722.0,2025-02-25,473695.8,10.721,6.8,6.313,6.8,6.2,1740430800000,20595.0,2025-02-24,12.599,7707765.6,6.313,6.8,3.6870000000000003,473695.8,1,,0,2025-02-25,6.313,8.01616323463646,0.7875338631731718,8.0332925,332,58.40329478853161,99.57231110407099,47.058823529411775
TRNR,15882985.3,17.547,15.6,12.5,25.399,12.1,1740603600000,506434.0,2025-02-26,53459.6,9.167,9.2,9.497,9.869,8.553,1740517200000,1686.0,2025-02-25,25.399,15882985.3,9.497,9.869,6.103,53459.6,1,,0,2025-02-26,9.497,4075.4074859055872,0.00233031912338692,1.4247513364,341,64.26239865220596,167.44235021585766,58.07072651737766
SYTA,23340159.0,6.2227,6.99,4.17,6.99,3.73,1740603600000,206194.0,2025-02-26,3479355.0,4.0447,3.71,3.5,3.76,3.2,1740517200000,29717.0,2025-02-25,6.99,23340159.0,3.5,3.76,3.49,3479355.0,1,,0,2025-02-26,3.5,199.17340510276696,0.017572627219954964,3.2820655,341,99.71428571428572,99.71428571428571,85.90425531914896
ENVB,135421195.0,3.0362,3.07,2.3,4.5,2.12,1740603600000,656892.0,2025-02-26,6882562.0,1.597,1.37,1.18,1.48,1.13,1740517200000,25160.0,2025-02-25,4.5,135421195.0,1.18,1.48,1.89,6882562.0,1,,0,2025-02-26,1.18,7.743263445393765,0.15239052736891529,2.2678537999999997,341,160.16949152542372,281.35593220338984,107.4324324324324
ULY,12892670.75,9.4476,10.1328,8.0892,11.4719,7.2024,1740690000000,363471.0,2025-02-27,643145.8333,10.0152,5.1492,5.04,5.76,5.04,1740603600000,18179.0,2025-02-26,11.4719,12892670.75,5.04,5.76,5.0927999999999995,643145.8333,1,,0,2025-02-27,5.04,12.924395748367207,0.3899602037980556,5.66986392,339,101.04761904761904,127.61706349206348,75.91666666666667
NVVE,60749136.0,3.83,4.35,2.7,5.0199,2.52,1740776400000,383368.0,2025-02-28,18643.0,2.3808,2.41,2.4,2.41,2.315,1740690000000,149.0,2025-02-27,5.0199,60749136.0,2.4,2.41,1.9499999999999997,18643.0,1,,0,2025-02-28,2.4,9.353092614383183,0.2565996188586095,3.1036704,342,81.24999999999999,109.16250000000001,80.4979253112033
