symbol,date,trend_atr,gap_atr,extension_atr,range_close_pct,volume_multiple,change_atr,fade_atr,days_since_high,trend_start,euphoric_high,fade_type,consecutive_reds,outlier_volume,outlier_range_atr,dev_band_upper_05,d0_open,d0_high,d_minus_1_avg_dollar_vol_20d,scanner_version,setup_grade
C,2024-04-12,20.98,1.51,2.66,87.1,1.12,0.51,3.09,10,2023-11-03,2024-04-01,multiple_red,2,,,61.76,62.29,62.6,985.0,V11,B
MRVL,2024-03-27,7.06,1.46,2.09,67.5,0.74,0.95,7.78,19,2024-02-22,2024-03-07,multiple_red,5,2.17,2.07,69.92,71.55,72.77,1306.3,V11,B
VKTX,2024-03-04,53.94,2.85,5.66,64.5,1.35,4.96,8.61,2,2023-11-16,2024-02-28,outlier_fade,0,3.74,8.42,76.34,90.0,94.67,659.8,V11,B
VKTX,2024-03-04,53.94,2.85,5.66,64.5,1.35,4.96,8.61,2,2023-11-16,2024-02-28,outlier_fade,0,3.74,8.42,76.34,90.0,94.67,659.8,V11,B
MSTR,2024-02-09,15.78,1.63,4.21,99.0,1.79,3.32,5.82,37,2023-10-20,2024-01-02,multiple_red,6,1.93,2.67,56.01,62.74,64.89,632.9,V11,B
MSTR,2024-02-09,15.78,1.63,4.21,99.0,1.79,3.32,5.82,37,2023-10-20,2024-01-02,multiple_red,6,1.93,2.67,56.01,62.74,64.89,632.9,V11,B
MSTR,2024-02-08,16.0,0.91,2.6,98.5,0.89,0.42,9.26,36,2023-10-20,2024-01-02,multiple_red,6,1.93,2.67,53.28,53.0,58.85,612.8,V11,B
MSTR,2024-02-08,16.0,0.91,2.6,98.5,0.89,0.42,9.26,36,2023-10-20,2024-01-02,multiple_red,6,1.93,2.67,53.28,53.0,58.85,612.8,V11,B
CVS,2024-02-07,7.99,0.9,1.76,76.5,0.85,0.86,6.2,29,2023-12-05,2024-01-08,multiple_red,5,2.23,2.9,74.88,75.15,77.4,1027.7,V11,B
SOXL,2024-02-05,13.44,0.58,1.53,84.6,0.94,0.77,3.79,8,2023-11-08,2024-01-25,multiple_red,2,,,34.98,34.55,35.6,2317.8,V11,B
SOXL,2024-02-05,13.44,0.58,1.53,84.6,0.94,0.77,3.79,8,2023-11-08,2024-01-25,multiple_red,2,,,34.98,34.55,35.6,2317.8,V11,B
SOXL,2024-02-05,13.44,0.58,1.53,84.6,0.94,0.77,3.79,8,2023-11-08,2024-01-25,multiple_red,2,,,34.98,34.55,35.6,2317.8,V11,B
SOXL,2024-02-05,13.44,0.58,1.53,84.6,0.94,0.77,3.79,8,2023-11-08,2024-01-25,multiple_red,2,,,34.98,34.55,35.6,2317.8,V11,B
COIN,2024-01-30,16.63,0.52,1.66,63.3,1.12,1.23,8.83,32,2023-11-02,2023-12-28,multiple_red,3,1.42,2.81,133.51,136.05,136.7,2258.5,V11,B
COIN,2024-01-30,16.63,0.52,1.66,63.3,1.12,1.23,8.83,32,2023-11-02,2023-12-28,multiple_red,3,1.42,2.81,133.51,136.05,136.7,2258.5,V11,B
SQ,2024-01-30,12.96,0.58,2.27,97.8,1.31,1.69,4.76,32,2023-11-06,2023-12-28,multiple_red,4,,,67.88,70.35,71.41,680.6,V11,B
AFRM,2024-01-22,18.15,1.4,3.03,97.7,0.76,1.23,6.22,23,2023-11-03,2023-12-27,multiple_red,5,0.74,2.33,44.03,44.52,47.75,761.9,V11,B
C,2024-01-22,12.49,0.46,1.36,84.9,0.97,0.41,3.23,15,2023-11-03,2024-01-04,outlier_fade,0,1.77,2.59,52.84,51.98,53.1,979.1,V11,B
SOXL,2024-01-18,9.62,1.55,2.54,92.5,1.27,0.52,2.97,20,2023-11-08,2023-12-28,multiple_red,4,,,29.99,30.72,31.31,1744.5,V11,B
SOXL,2024-01-18,9.62,1.55,2.54,92.5,1.27,0.52,2.97,20,2023-11-08,2023-12-28,multiple_red,4,,,29.99,30.72,31.31,1744.5,V11,B
SOXL,2024-01-18,9.62,1.55,2.54,92.5,1.27,0.52,2.97,20,2023-11-08,2023-12-28,multiple_red,4,,,29.99,30.72,31.31,1744.5,V11,B
SOXL,2024-01-18,9.62,1.55,2.54,92.5,1.27,0.52,2.97,20,2023-11-08,2023-12-28,multiple_red,4,,,29.99,30.72,31.31,1744.5,V11,B
MARA,2024-01-04,18.66,0.61,3.18,90.6,1.18,0.43,6.72,7,2023-10-25,2023-12-27,multiple_red,3,1.63,2.39,26.43,24.16,26.88,1827.3,V11,B
